season,team_name_bet,opp_team_name_bet,team_goals,opp_team_goals,Bet365_win_odds,Bet365_draw_odds,Bet365_lose_odds,bet_merge_code
20222023,Crystal Palace,Arsenal,0.0,2.0,4.2,3.6,1.85,20222023_16_11_Home
20222023,Fulham,Liverpool,2.0,2.0,11.0,6.0,1.25,20222023_18_3_Home
20222023,Bournemouth,Aston Villa,2.0,0.0,3.75,3.5,2.0,20222023_24_20_Home
20222023,Leeds,Wolves,2.0,1.0,2.25,3.4,3.2,20222023_10_8_Home
20222023,Newcastle,Nott'm Forest,2.0,0.0,1.66,3.8,5.25,20222023_15_25_Home
20222023,Tottenham,Southampton,4.0,1.0,1.33,5.5,8.5,20222023_17_7_Home
20222023,Everton,Chelsea,0.0,1.0,5.5,4.0,1.61,20222023_5_1_Home
20222023,Leicester,Brentford,2.0,2.0,2.0,3.75,3.5,20222023_6_21_Home
20222023,Man United,Brighton,1.0,2.0,1.6,4.2,5.25,20222023_14_19_Home
20222023,West Ham,Man City,0.0,2.0,8.0,5.0,1.36,20222023_9_4_Home
20222023,Aston Villa,Everton,2.0,1.0,1.8,3.5,4.75,20222023_20_5_Home
20222023,Arsenal,Leicester,4.0,2.0,1.53,4.33,5.75,20222023_11_6_Home
20222023,Brighton,Newcastle,0.0,0.0,2.45,3.2,3.0,20222023_19_15_Home
20222023,Man City,Bournemouth,4.0,0.0,1.06,13.0,29.0,20222023_4_24_Home
20222023,Southampton,Leeds,2.0,2.0,2.25,3.5,3.1,20222023_7_10_Home
20222023,Wolves,Fulham,0.0,0.0,2.3,3.3,3.2,20222023_8_18_Home
20222023,Brentford,Man United,4.0,0.0,3.75,3.5,2.0,20222023_21_14_Home
20222023,Nott'm Forest,West Ham,1.0,0.0,4.2,3.6,1.85,20222023_25_9_Home
20222023,Chelsea,Tottenham,2.0,2.0,2.25,3.4,3.2,20222023_1_17_Home
20222023,Liverpool,Crystal Palace,1.0,1.0,1.18,6.75,16.0,20222023_3_16_Home
