web_name,name,code,22_FPL_code,fbref_id
Balogun,Arsenal,232223,,31822f8c
Cédric,Arsenal,58822,58822,839c14e1
M.Elneny,Arsenal,153256,153256,47a34c4f
Fábio Vieira,Arsenal,438098,438098,6412cc03
Gabriel,Arsenal,226597,226597,67ac5bb8
Havertz,Arsenal,219847,219847,fed7cb61
Holding,Arsenal,156074,156074,d79a8c87
G.Jesus,Arsenal,205651,205651,b66315ae
Jorginho,Arsenal,85955,85955,45db685d
Kiwior,Arsenal,440854,440854,dc3e663e
Marquinhos,Arsenal,479683,479683,59878425
Martinelli,Arsenal,444145,444145,48a5a5d6
Nketiah,Arsenal,205533,205533,a53649b7
Ødegaard,Arsenal,184029,184029,79300479
Thomas,Arsenal,167199,167199,529f49ab
Pepe,Arsenal,195735,195735,57e3f0c7
Ramsdale,Arsenal,225321,225321,466fb2c5
Rúnarsson,Arsenal,115918,,8fa8f8d2
Saka,Arsenal,223340,223340,bc7dc64d
Saliba,Arsenal,462424,462424,972aeb2a
Sambi,Arsenal,437742,437742,1b4f1169
Smith Rowe,Arsenal,209289,209289,17695062
Tavares,Arsenal,437626,437626,a65c844b
Tierney,Arsenal,192895,192895,fce2302c
Tomiyasu,Arsenal,223723,223723,b3af9be1
Trossard,Arsenal,116216,116216,38ceb24a
Turner,Arsenal,224068,224068,4a51ba65
White,Arsenal,198869,198869,35e413f1
Xhaka,Arsenal,84450,84450,e61b8aee
Zinchenko,Arsenal,206325,206325,51cf8561
Rice,Arsenal,204480,204480,1c7012b8
Nelson,Arsenal,200641,200641,c5bdb6e3
J.Timber,Arsenal,445122,,41034650
Alex Moreno,Aston Villa,106468,106468,16e9d0ea
Archer,Aston Villa,433979,433979,05e8ca6d
Bailey,Aston Villa,215711,215711,3a233281
Buendia,Aston Villa,195546,195546,66b76d44
Cash,Aston Villa,199796,199796,2389cdc2
Chambers,Aston Villa,101184,101184,dc6f5bdd
Coutinho,Aston Villa,84583,84583,0ef89a37
Davis,Aston Villa,221239,221239,9deaf2c8
Dendoncker,Aston Villa,151589,151589,5a7301ae
Diego Carlos,Aston Villa,165659,165659,b4a014b1
Digne,Aston Villa,101188,101188,1b84dbe1
Douglas Luiz,Aston Villa,230046,230046,6f7d826d
Duran,Aston Villa,476344,476344,414184f7
Hause,Aston Villa,123354,123354,bf8fad51
Iroegbunam,Aston Villa,490094,490094,84c5ceea
Kamara,Aston Villa,226944,226944,cc77354e
Konsa,Aston Villa,199798,199798,0313a347
Martinez,Aston Villa,98980,98980,7956236f
McGinn,Aston Villa,122806,122806,90f91999
Mings,Aston Villa,149484,149484,8397a50c
Olsen,Aston Villa,111782,111782,e7ee38c3
Philogene,Aston Villa,481624,481624,19f4d211
J.Ramsey,Aston Villa,232653,232653,1544f145
Sanson,Aston Villa,122775,122775,6e7f1353
Sinisalo,Aston Villa,248164,248164,a48635b8
Tielemans,Aston Villa,166989,166989,56f7a928
Bertrand Traoré,Aston Villa,110504,110504,c47541e0
Watkins,Aston Villa,178301,178301,aed3a70f
Wesley,Aston Villa,213345,,bfae110f
Pau,Aston Villa,244954,,532e1e4f
Diaby,Aston Villa,243557,,aeed5c06
Anthony,Bournemouth,444180,444180,e4238fb1
Billing,Bournemouth,168991,168991,d328a254
Brooks,Bournemouth,111317,111317,dc4cae05
Christie,Bournemouth,158499,158499,26ce2263
L.Cook,Bournemouth,155408,155408,2afc7272
Siriki,Bournemouth,244085,244085,11f54bd5
