,team,team_id,web_name,event,current_gw
0,14,14,R.Varane,1.0,1
1,13,13,Rodrigo,1.0,1
2,15,15,Isak,1.0,1
3,13,13,Haaland,1.0,1
4,10,10,Leno,1.0,1
5,14,14,Wan-Bissaka,1.0,1
6,15,15,Barnes,1.0,1
7,7,7,Disasi,1.0,1
8,1,1,Saka,1.0,1
9,5,5,March,1.0,1
10,8,8,Andersen,1.0,1
11,18,18,Maddison,1.0,1
12,4,4,Wissa,1.0,1
13,14,14,Onana,1.0,1
14,19,19,Bowen,1.0,1
15,10,10,Diop,1.0,1
16,1,1,Nketiah,1.0,1
17,11,11,Luis Díaz,1.0,1
18,12,12,Morris,1.0,1
19,8,8,Mitchell,1.0,1
20,18,18,E.Royal,1.0,1
21,4,4,Mbeumo,1.0,1
22,5,5,João Pedro,1.0,1
23,18,18,Romero,1.0,1
24,10,10,Ream,1.0,1
25,16,16,Awoniyi,1.0,1
26,13,13,Aké,1.0,1
27,7,7,Chilwell,1.0,1
28,2,2,Diaby,1.0,1
29,5,5,Estupiñan,1.0,1
30,19,19,Souček,1.0,1
31,8,8,Edouard,1.0,1
32,3,3,Solanke,1.0,1
33,13,13,Akanji,1.0,1
34,10,10,De Cordova-Reid,1.0,1
35,8,8,Johnstone,1.0,1
36,8,8,Guéhi,1.0,1
37,8,8,J.Ayew,1.0,1
38,15,15,Tonali,1.0,1
39,13,13,R.Lewis,1.0,1
40,5,5,Adingra,1.0,1
41,13,13,Ederson M.,1.0,1
42,8,8,Ward,1.0,1
43,10,10,Robinson,1.0,1
44,13,13,Walker,1.0,1
45,2,2,Watkins,1.0,1
46,13,13,J.Alvarez,1.0,1
47,15,15,Wilson,1.0,1
48,14,14,Shaw,1.0,1
49,10,10,Tete,1.0,1
50,11,11,Salah,1.0,1
51,5,5,Ferguson,1.0,1
52,1,1,Saliba,1.0,1
53,5,5,Mitoma,1.0,1
54,15,15,Botman,1.0,1
55,1,1,Martinelli,1.0,1
56,12,12,Brown,1.0,1
57,15,15,Gordon,1.0,1
58,4,4,Jensen,1.0,1
59,16,16,Elanga,1.0,1
60,17,17,Foderingham,1.0,1
61,4,4,Henry,1.0,1
62,3,3,Semenyo,1.0,1
63,10,10,Andreas,1.0,1
64,15,15,J.Murphy,1.0,1
65,14,14,Rashford,1.0,1
66,14,14,Antony,1.0,1
67,14,14,Garnacho,1.0,1
68,8,8,C.Doucouré,1.0,1
69,19,19,Areola,1.0,1
70,8,8,Schlupp,1.0,1
71,10,10,Reed,1.0,1
72,8,8,Lerma,1.0,1
73,13,13,Kovačić,1.0,1
74,12,12,Kaminski,1.0,1
75,11,11,A.Becker,1.0,1
76,20,20,Sarabia,1.0,1
77,13,13,Bernardo,1.0,1
78,14,14,B.Fernandes,1.0,1
79,10,10,Lukić,1.0,1
80,5,5,Dahoud,1.0,1
81,10,10,Wilson,1.0,1
82,5,5,Milner,1.0,1
83,13,13,Foden,1.0,1
84,14,14,Mount,1.0,1
85,15,15,Pope,1.0,1
86,14,14,Casemiro,1.0,1
87,8,8,Eze,1.0,1
88,17,17,Egan,1.0,1
89,9,9,Pickford,1.0,1
90,9,9,Patterson,1.0,1
91,9,9,Onana,1.0,1
92,17,17,Norwood,1.0,1
93,15,15,Burn,1.0,1
94,15,15,Almirón,1.0,1
95,9,9,Maupay,1.0,1
96,9,9,Keane,1.0,1
97,9,9,Iwobi,1.0,1
98,16,16,Yates,1.0,1
99,5,5,Van Hecke,1.0,1
100,1,1,Ramsdale,1.0,1
101,3,3,Christie,1.0,1
102,9,9,Gana,1.0,1
103,12,12,Adebayo,1.0,1
104,6,6,Koleosho,1.0,1
105,7,7,Sanchez,1.0,1
106,9,9,Garner,1.0,1
107,9,9,A.Doucoure,1.0,1
108,6,6,Trafford,1.0,1
109,6,6,Amdouni,1.0,1
110,6,6,Berge,1.0,1
111,20,20,Dawson,1.0,1
112,5,5,Steele,1.0,1
113,3,3,Brooks,1.0,1
114,2,2,Kamara,1.0,1
115,3,3,Neto,1.0,1
116,16,16,Johnson,1.0,1
117,3,3,Billing,1.0,1
118,16,16,Gibbs-White,1.0,1
119,17,17,Robinson,1.0,1
120,12,12,Nakamba,1.0,1
121,16,16,Danilo,1.0,1
122,17,17,Lowe,1.0,1
123,2,2,McGinn,1.0,1
124,17,17,T.Bénie,1.0,1
125,7,7,James,1.0,1
126,16,16,Turner,1.0,1
127,11,11,Virgil,1.0,1
128,18,18,Richarlison,1.0,1
129,17,17,Osborn,1.0,1
130,11,11,Szoboszlai,1.0,1
131,18,18,Son,1.0,1
132,11,11,Robertson,1.0,1
133,18,18,Kulusevski,1.0,1
134,5,5,Gross,1.0,1
135,4,4,Nørgaard,1.0,1
136,6,6,Cullen,1.0,1
137,11,11,Konaté,1.0,1
138,18,18,Bissouma,1.0,1
139,11,11,Gakpo,1.0,1
140,4,4,Janelt,1.0,1
141,3,3,Rothwell,1.0,1
142,19,19,Zouma,1.0,1
143,3,3,Aarons,1.0,1
144,5,5,Welbeck,1.0,1
145,19,19,P.Fornals,1.0,1
146,1,1,Ødegaard,1.0,1
147,7,7,Colwill,1.0,1
148,19,19,Coufal,1.0,1
149,15,15,Trippier,1.0,1
150,1,1,Thomas,1.0,1
151,19,19,Benrahma,1.0,1
152,19,19,N.Aguerd,1.0,1
153,20,20,Cunha,1.0,1
154,5,5,Dunk,1.0,1
155,12,12,Chong,1.0,1
156,20,20,N.Semedo,1.0,1
157,12,12,Mpanzu,1.0,1
158,20,20,José Sá,1.0,1
159,15,15,Schär,1.0,1
160,20,20,Matheus N.,1.0,1
161,17,17,Baldock,1.0,1
162,20,20,Kilman,1.0,1
163,3,3,Zabarnyi,1.0,1
164,7,7,T.Silva,1.0,1
165,20,20,João Gomes,1.0,1
166,7,7,Sterling,1.0,1
167,4,4,Flekken,1.0,1
168,1,1,Rice,1.0,1
169,3,3,Kerkez,1.0,1
170,7,7,Gallagher,1.0,1
171,9,9,Young,1.0,1
172,17,17,Basham,1.0,1
173,6,6,Foster,1.0,1
174,15,15,Joelinton,1.0,1
175,1,1,Havertz,1.0,1
176,9,9,Tarkowski,1.0,1
177,20,20,Fábio Silva,1.0,1
178,4,4,Damsgaard,1.0,1
179,7,7,N.Jackson,1.0,1
180,7,7,Mudryk,1.0,1
181,4,4,Collins,1.0,1
182,12,12,Ogbene,1.0,1
183,2,2,Philogene,1.0,1
184,7,7,Gusto,1.0,1
185,1,1,Gabriel,1.0,1
186,4,4,Baptiste,1.0,1
187,7,7,Enzo,1.0,1
188,12,12,Berry,1.0,1
189,7,7,Chukwuemeka,1.0,1
190,13,13,Gvardiol,1.0,1
191,4,4,Ajer,1.0,1
192,3,3,Senesi,1.0,1
193,13,13,Palmer,1.0,1
194,13,13,McAtee,1.0,1
195,2,2,Martinez,1.0,1
196,13,13,Laporte,1.0,1
197,5,5,Veltman,1.0,1
198,13,13,De Bruyne,1.0,1
199,3,3,Moore,1.0,1
200,8,8,Tomkins,1.0,1
201,14,14,Sancho,1.0,1
202,14,14,Pellistri,1.0,1
203,14,14,McTominay,1.0,1
204,1,1,White,1.0,1
205,14,14,Lindelof,1.0,1
206,3,3,Kluivert,1.0,1
207,2,2,Douglas Luiz,1.0,1
208,14,14,Eriksen,1.0,1
209,5,5,Gilmour,1.0,1
210,5,5,Enciso,1.0,1
211,20,20,Aït-Nouri,1.0,1
212,9,9,Dobbin,1.0,1
213,15,15,Longstaff,1.0,1
214,9,9,Danjuma,1.0,1
215,3,3,Hill,1.0,1
216,15,15,Bruno G.,1.0,1
217,15,15,Anderson,1.0,1
218,16,16,Worrall,1.0,1
219,16,16,Wood,1.0,1
220,16,16,Williams,1.0,1
221,6,6,Bruun Larsen,1.0,1
222,6,6,Redmond,1.0,1
223,16,16,McKenna,1.0,1
224,16,16,Mangala,1.0,1
225,6,6,Vitinho,1.0,1
226,16,16,Kouyaté,1.0,1
227,3,3,Anthony,1.0,1
228,2,2,Coutinho,1.0,1
229,4,4,Zanka,1.0,1
230,1,1,Trossard,1.0,1
231,10,10,Raúl,1.0,1
232,6,6,Roberts,1.0,1
233,16,16,Boly,1.0,1
234,16,16,Aurier,1.0,1
235,20,20,Bueno,1.0,1
236,17,17,Hackford,1.0,1
237,17,17,Brooks,1.0,1
238,17,17,Vini Souza,1.0,1
239,17,17,Larouci,1.0,1
240,6,6,O'Shea,1.0,1
241,17,17,Osula,1.0,1
242,10,10,Mitrović,1.0,1
243,2,2,Bailey,1.0,1
244,4,4,Schade,1.0,1
245,4,4,Roerslev,1.0,1
246,17,17,Ahmedhodžić,1.0,1
247,4,4,Pinnock,1.0,1
248,10,10,Cairney,1.0,1
249,18,18,Van de Ven,1.0,1
250,1,1,Tomiyasu,1.0,1
251,11,11,Doak,1.0,1
252,18,18,Vicario,1.0,1
253,18,18,Udogie,1.0,1
254,18,18,Skipp,1.0,1
255,18,18,Sarr,1.0,1
256,2,2,Tielemans,1.0,1
257,6,6,Brownhill,1.0,1
258,18,18,Perišić,1.0,1
259,6,6,Beyer,1.0,1
260,6,6,Benson,1.0,1
261,11,11,Mac Allister,1.0,1
262,11,11,Jones,1.0,1
263,6,6,Al-Dakhil,1.0,1
264,11,11,Elliott,1.0,1
265,11,11,Diogo J.,1.0,1
266,11,11,Darwin,1.0,1
267,19,19,L.Paquetá,1.0,1
268,19,19,Kehrer,1.0,1
269,11,11,Alexander-Arnold,1.0,1
270,19,19,Ings,1.0,1
271,7,7,Ugochukwu,1.0,1
272,19,19,Emerson,1.0,1
273,7,7,Maatsen,1.0,1
274,19,19,Cornet,1.0,1
275,19,19,Antonio,1.0,1
276,12,12,Kaboré,1.0,1
277,20,20,Neto,1.0,1
278,20,20,Lemina,1.0,1
279,20,20,Kalajdžić,1.0,1
280,12,12,Woodrow,1.0,1
281,20,20,Hee Chan,1.0,1
282,15,15,Gillespie,1.0,1
283,15,15,Fraser,1.0,1
284,15,15,Dubravka,1.0,1
