,code,event,finished,finished_provisional,id,kickoff_time,minutes,provisional_start_time,started,opp_team,opp_team_score,team,team_score,stats,team_difficulty,opp_team_difficulty,code,web_name,team,element_type,status,now_cost,transfers_in,transfers_in_event,transfers_out,transfers_out_event,event_points,goals_scored,assists,clean_sheets,goals_conceded,total_points,minutes,points_per_game,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,creativity_rank,threat_rank,ict_index_rank,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,points_per_game_rank,selected_rank,starts_per_90,clean_sheets_per_90,now_datetime_UTC,current_gw,next_gw,code,id,name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,player_code,team_id
0,2367813,28.0,False,False,276,2024-03-09T15:00:00Z,0,False,False,8,,12,,{},2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2367554,2.0,False,False,17,2023-08-18T18:45:00Z,0,False,False,16,,17,,{},2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2367915,38.0,False,False,378,2024-05-19T15:00:00Z,0,False,False,12,,10,,{},2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2367617,8.0,False,False,80,2023-10-07T14:00:00Z,0,False,False,20,,2,,{},2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2367892,36.0,False,False,355,2024-05-04T14:00:00Z,0,False,False,7,,19,,{},3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2367915,38.0,False,False,378,2024-05-19T15:00:00Z,0,False,False,10,,12,,{},2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2367872,34.0,False,False,335,2024-04-20T14:00:00Z,0,False,False,10,,11,,{},2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2367817,28.0,False,False,280,2024-03-09T15:00:00Z,0,False,False,20,,10,,{},2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2367672,14.0,False,False,135,2023-12-02T15:00:00Z,0,False,False,7,,5,,{},3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2367588,6.0,False,False,51,2023-09-24T13:00:00Z,0,False,False,1,,18,,{},4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2367731,20.0,False,False,194,2023-12-30T15:00:00Z,0,False,False,11,,15,,{},4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2367610,8.0,False,False,73,2023-10-07T14:00:00Z,0,False,False,7,,6,,{},3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2367738,21.0,False,False,202,2024-01-13T15:00:00Z,0,False,False,3,,11,,{},2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2367776,24.0,False,False,239,2024-02-10T15:00:00Z,0,False,False,1,,19,,{},4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2367696,16.0,False,False,159,2023-12-09T15:00:00Z,0,False,False,15,,18,,{},4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2367664,13.0,False,False,127,2023-11-25T15:00:00Z,0,False,False,7,,15,,{},3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2367693,16.0,False,False,156,2023-12-09T15:00:00Z,0,False,False,13,,12,,{},5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2367593,6.0,False,False,56,2023-09-23T14:00:00Z,0,False,False,8,,10,,{},2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2367786,25.0,False,False,249,2024-02-17T15:00:00Z,0,False,False,5,,17,,{},3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2367718,19.0,False,False,182,2023-12-26T15:00:00Z,0,False,False,10,,3,,{},2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2367539,1.0,False,False,3,2023-08-12T14:00:00Z,0,False,False,19,,3,,{},2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2367658,13.0,False,False,121,2023-11-25T15:00:00Z,0,False,False,1,,4,,{},4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2367601,7.0,False,False,64,2023-10-02T19:00:00Z,0,False,False,10,,7,,{},2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2367595,6.0,False,False,58,2023-09-23T14:00:00Z,0,False,False,20,,12,,{},2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2367729,20.0,False,False,192,2023-12-30T15:00:00Z,0,False,False,8,,4,,{},2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2367692,16.0,False,False,155,2023-12-09T15:00:00Z,0,False,False,19,,10,,{},2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2367917,38.0,False,False,380,2024-05-19T15:00:00Z,0,False,False,17,,18,,{},2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2367708,18.0,False,False,171,2023-12-23T15:00:00Z,0,False,False,2,,17,,{},3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2367651,12.0,False,False,114,2023-11-11T15:00:00Z,0,False,False,17,,5,,{},2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2367866,33.0,False,False,329,2024-04-13T14:00:00Z,0,False,False,16,,20,,{},2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2367618,9.0,False,False,82,2023-10-21T14:00:00Z,0,False,False,3,,20,,{},2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2367810,28.0,False,False,272,2024-03-09T15:00:00Z,0,False,False,2,,18,,{},3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2367632,10.0,False,False,95,2023-10-28T14:00:00Z,0,False,False,4,,7,,{},3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2367565,3.0,False,False,28,2023-08-26T14:00:00Z,0,False,False,16,,14,,{},2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
