,season,round,kickoff_time,team_name,opp_team_name,value,points_scaled,elo,elo_team,elo_opp
21537,20202021,1.0,2020-09-12T11:30:00Z,Arsenal,Fulham,7.3,2.076624632054187,"[1006.3064985282167, 993.6935014717833]",1006.3064985282167,993.6935014717833
21539,20202021,1.0,2020-09-12T11:30:00Z,West Brom,Fulham,6.0,1.3710148931895814,"[1003.3267228903653, 990.366778581418]",1003.3267228903653,990.366778581418
1,20202021,1.0,2020-09-12T11:30:00Z,Fulham,Arsenal,1.3636363636363635,-1.1454953642995718,"[984.1780992564644, 1012.4951778531703]",984.1780992564644,1012.4951778531703
16755,20202021,1.0,2020-09-12T14:00:00Z,Southampton,Crystal Palace,1.9,-0.8543696678449443,"[994.5825213286203, 1005.4174786713797]",994.5825213286203,1005.4174786713797
45470,20202021,1.0,2020-09-12T14:00:00Z,Crystal Palace,Southampton,5.181818181818182,0.9269248477503189,"[1006.8559482952228, 993.1440517047772]",1006.8559482952228,993.1440517047772
28721,20202021,1.0,2020-09-12T16:30:00Z,Leeds,Liverpool,3.5454545454545454,0.03874475687179434,"[998.1549790274872, 1001.8450209725128]",998.1549790274872,1001.8450209725128
23936,20202021,1.0,2020-09-12T16:30:00Z,Liverpool,Leeds,4.1,0.33973912100284975,"[1001.111791775606, 998.888208224394]",1001.111791775606,998.888208224394
55046,20202021,1.0,2020-09-12T19:00:00Z,Newcastle,West Ham,5.7272727272727275,1.2229848780431607,"[1002.8919395121726, 997.1080604878274]",1002.8919395121726,997.1080604878274
35903,20202021,1.0,2020-09-12T19:00:00Z,West Ham,Newcastle,1.4545454545454546,-1.0961520259174315,"[990.8677979458477, 1009.1322020541523]",990.8677979458477,1009.1322020541523
26333,20202021,1.0,2020-09-13T13:00:00Z,West Brom,Leicester,1.5,-1.0714803567263613,"[996.9576812970306, 1006.3690415933347]",996.9576812970306,1006.3690415933347
52655,20202021,1.0,2020-09-13T13:00:00Z,Leicester,West Brom,6.2727272727272725,1.519044908336002,"[1010.2110166594402, 993.1157062309251]",1010.2110166594402,993.1157062309251
19156,20202021,1.0,2020-09-13T15:30:00Z,Spurs,Everton,2.0,-0.80009199562459,"[994.7996320175016, 1005.2003679824984]",994.7996320175016,1005.2003679824984
47871,20202021,1.0,2020-09-13T15:30:00Z,Everton,Spurs,5.454545454545454,1.0749548628967396,"[1007.241624175245, 992.758375824755]",1007.241624175245,992.758375824755
57445,20202021,1.0,2020-09-14T17:00:00Z,Sheffield Utd,Wolves,1.2727272727272727,-1.194838702681712,"[993.2206451892731, 1006.7793548107269]",993.2206451892731,1006.7793548107269
43088,20202021,1.0,2020-09-14T17:00:00Z,Wolves,Sheffield Utd,6.2727272727272725,1.519044908336002,"[1010.5197754320753, 989.4802245679247]",1010.5197754320753,989.4802245679247
14374,20202021,1.0,2020-09-14T19:15:00Z,Brighton,Chelsea,2.4444444444444446,-0.5588578968674598,"[995.7645684125301, 1004.2354315874699]",995.7645684125301,1004.2354315874699
14373,20202021,1.0,2020-09-14T19:15:00Z,Arsenal,Chelsea,1.0,-1.3428687178281329,"[1004.9179399444702, 1011.81266949617]",1004.9179399444702,1011.81266949617
9589,20202021,1.0,2020-09-14T19:15:00Z,Chelsea,Brighton,5.1,0.8825158432063925,"[1012.946826685596, 994.6304112231041]",1012.946826685596,994.6304112231041
19163,20202021,2.0,2020-09-19T11:30:00Z,West Brom,Everton,2.3,-0.6372589789635272,"[988.9161932732109, 1011.4411371329592]",988.9161932732109,1011.4411371329592
52664,20202021,2.0,2020-09-19T11:30:00Z,Everton,West Brom,5.181818181818182,0.9269248477503189,"[1012.6001366370243, 987.7571937691457]",1012.6001366370243,987.7571937691457
21558,20202021,2.0,2020-09-19T14:00:00Z,Leeds,Fulham,4.7,0.6654051543249757,"[999.1861654578242, 983.8801420230342]",999.1861654578242,983.8801420230342
23950,20202021,2.0,2020-09-19T14:00:00Z,Fulham,Leeds,3.0,-0.25731527342104715,"[981.2289298598085, 1001.8373776210499]",981.2289298598085,1001.8373776210499
33524,20202021,2.0,2020-09-19T16:30:00Z,Crystal Palace,Man Utd,4.818181818181818,0.729551494221758,"[1007.6031739413872, 999.2527743538355]",1007.6031739413872,999.2527743538355
16774,20202021,2.0,2020-09-19T16:30:00Z,Man Utd,Crystal Palace,1.3,-1.18003570116707,"[992.7406366690109, 1014.1153116262119]",992.7406366690109,1014.1153116262119
55063,20202021,2.0,2020-09-19T19:00:00Z,Arsenal,West Ham,3.272727272727273,-0.10928525827462629,"[1002.1331127974676, 993.6526250928503]",1002.1331127974676,993.6526250928503
25,20202021,2.0,2020-09-19T19:00:00Z,West Ham,Arsenal,2.0,-0.80009199562459,"[988.6634787087618, 1007.122259181556]",988.6634787087618,1007.122259181556
47886,20202021,2.0,2020-09-20T11:00:00Z,Southampton,Spurs,2.2,-0.6915366511838813,"[988.3682632777379, 997.5341642517943]",988.3682632777379,997.5341642517943
45494,20202021,2.0,2020-09-20T11:00:00Z,Spurs,Southampton,6.0,1.3710148931895814,"[1000.7900737474843, 985.112353782048]",1000.7900737474843,985.112353782048
35924,20202021,2.0,2020-09-20T13:00:00Z,Brighton,Newcastle,6.111111111111111,1.4313234178788636,"[998.7143301403052, 1005.0482831369513]",998.7143301403052,1005.0482831369513
35923,20202021,2.0,2020-09-20T13:00:00Z,Arsenal,Newcastle,6.0,1.3710148931895814,"[1010.5544809659004, 1001.616061352607]",1010.5544809659004,1001.616061352607
9602,20202021,2.0,2020-09-20T13:00:00Z,Newcastle,Brighton,1.2222222222222223,-1.2222516684495677,"[994.6545431951855, 1005.6758482977266]",994.6545431951855,1005.6758482977266
14390,20202021,2.0,2020-09-20T15:30:00Z,Liverpool,Chelsea,6.7,1.7509585987320613,"[1006.4093622962972, 1007.6492561649047]",1006.4093622962972,1007.6492561649047
28747,20202021,2.0,2020-09-20T15:30:00Z,Chelsea,Liverpool,1.4444444444444444,-1.101634619071003,"[1001.2117228236131, 1012.8468956375889]",1001.2117228236131,1012.8468956375889
11999,20202021,2.0,2020-09-20T18:00:00Z,Leicester,Burnley,4.454545454545454,0.5321781406931967,"[1010.0858310945727, 1000.1251855648676]",1010.0858310945727,1000.1251855648676
26356,20202021,2.0,2020-09-20T18:00:00Z,Burnley,Leicester,2.5,-0.5287036345228185,"[996.2581083234941, 1013.9529083359462]",996.2581083234941,1013.9529083359462
43109,20202021,2.0,2020-09-21T17:00:00Z,Aston Villa,Sheffield Utd,5.818181818181818,1.272328216425301,"[1002.8278239250238, 986.6524006429008]",1002.8278239250238,986.6524006429008
2429,20202021,2.0,2020-09-21T17:00:00Z,Sheffield Utd,Aston Villa,1.6666666666666667,-0.9810175696924376,"[981.1272939073307, 1008.352930660594]",981.1272939073307,1008.352930660594
57469,20202021,2.0,2020-09-21T19:15:00Z,Man City,Wolves,4.090909090909091,0.33480478716463585,"[999.6007080893359, 1010.9190673427395]",999.6007080893359,1010.9190673427395
31147,20202021,2.0,2020-09-21T19:15:00Z,Wolves,Man City,2.3636363636363638,-0.6027186420960289,"[1006.2271067429441, 1004.2926686891312]",1006.2271067429441,1004.2926686891312
9613,20202021,3.0,2020-09-26T11:30:00Z,Man Utd,Brighton,3.4545454545454546,-0.010598581510345866,"[991.0188336760954, 1007.3976512906421]",991.0188336760954,1007.3976512906421
33542,20202021,3.0,2020-09-26T11:30:00Z,Brighton,Man Utd,2.6,-0.47442596230246425,"[1003.0961038670846, 995.3203810996529]",1003.0961038670846,995.3203810996529
33541,20202021,3.0,2020-09-26T11:30:00Z,Arsenal,Man Utd,1.0,-1.3428687178281329,"[1002.8066913014031, 1003.0681707641502]",1002.8066913014031,1003.0681707641502
16794,20202021,3.0,2020-09-26T14:00:00Z,Everton,Crystal Palace,3.6363636363636362,0.08808809525393456,"[1010.9903638641605, 1015.7250843990757]",1010.9903638641605,1015.7250843990757
19186,20202021,3.0,2020-09-26T14:00:00Z,Crystal Palace,Everton,2.3636363636363638,-0.6027186420960289,"[1011.1959798283423, 1015.519468434894]",1011.1959798283423,1015.519468434894
14403,20202021,3.0,2020-09-26T16:30:00Z,West Brom,Chelsea,3.6363636363636362,0.08808809525393456,"[986.4427735003353, 1002.5261430924235]",986.4427735003353,1002.5261430924235
52690,20202021,3.0,2020-09-26T16:30:00Z,Chelsea,West Brom,3.3333333333333335,-0.07638969935319949,"[999.8238310231678, 989.145085569591]",999.8238310231678,989.145085569591
12012,20202021,3.0,2020-09-26T19:00:00Z,Southampton,Burnley,5.454545454545454,1.0749548628967396,"[987.6890281044692, 993.6814340010728]",987.6890281044692,993.6814340010728
45513,20202021,3.0,2020-09-26T19:00:00Z,Burnley,Southampton,1.9090909090909092,-0.8494353340067302,"[988.134162073668, 993.2363000318741]",988.134162073668,993.2363000318741
23979,20202021,3.0,2020-09-27T11:00:00Z,Sheffield Utd,Leeds,2.1818181818181817,-0.7014053188603095,"[976.828160553412, 1006.1365109749686]",976.828160553412,1006.1365109749686
43122,20202021,3.0,2020-09-27T11:00:00Z,Leeds,Sheffield Utd,5.8,1.2624595487488726,"[1008.4847515309772, 974.4799199974034]",1008.4847515309772,974.4799199974034
35946,20202021,3.0,2020-09-27T13:00:00Z,Spurs,Newcastle,3.0,-0.25731527342104715,"[997.6077244268248, 997.836892515845]",997.6077244268248,997.836892515845
47910,20202021,3.0,2020-09-27T13:00:00Z,Newcastle,Spurs,2.8181818181818183,-0.3560019501853276,"[994.4071555285493, 1001.0374614141205]",994.4071555285493,1001.0374614141205
26376,20202021,3.0,2020-09-27T15:30:00Z,Man City,Leicester,2.5,-0.5287036345228185,"[1000.4181931257403, 1017.8273838993371]",1000.4181931257403,1017.8273838993371
31161,20202021,3.0,2020-09-27T15:30:00Z,Leicester,Man City,3.727272727272727,0.13743143363607477,"[1015.948622453345, 1002.2969545717324]",1015.948622453345,1002.2969545717324
57486,20202021,3.0,2020-09-27T18:00:00Z,West Ham,Wolves,7.3,2.076624632054187,"[995.4021466035639, 999.488438848142]",995.4021466035639,999.488438848142
55094,20202021,3.0,2020-09-27T18:00:00Z,Wolves,West Ham,0.8181818181818182,-1.4415553945924133,"[991.6201487148218, 1003.2704367368841]",991.6201487148218,1003.2704367368841
2450,20202021,3.0,2020-09-28T16:45:00Z,Fulham,Aston Villa,1.1111111111111112,-1.2825601931388502,"[974.7519471261379, 1014.8299133942646]",974.7519471261379,1014.8299133942646
21593,20202021,3.0,2020-09-28T16:45:00Z,Aston Villa,Fulham,6.818181818181818,1.8151049386288436,"[1019.1645666149393, 970.4172939054632]",1019.1645666149393,970.4172939054632
28776,20202021,3.0,2020-09-28T19:00:00Z,West Brom,Liverpool,1.0,-1.3428687178281329,"[982.349406423416, 1019.6425747837638]",982.349406423416,1019.6425747837638
59,20202021,3.0,2020-09-28T19:00:00Z,Liverpool,Arsenal,3.909090909090909,0.23611811040035544,"[1018.1722556454525, 1004.2770104397144]",1018.1722556454525,1004.2770104397144
28774,20202021,3.0,2020-09-28T19:00:00Z,Arsenal,Liverpool,2.111111111111111,-0.7397834709353074,"[999.6618060202551, 1022.7874600649119]",999.6618060202551,1022.7874600649119
16812,20202021,4.0,2020-10-03T11:30:00Z,Chelsea,Crystal Palace,7.363636363636363,2.111164968921685,"[1006.5508949825728, 1004.4689158689373]",1006.5508949825728,1004.4689158689373
14420,20202021,4.0,2020-10-03T11:30:00Z,Crystal Palace,Chelsea,1.2727272727272727,-1.194838702681712,"[997.7415987884217, 1013.2782120630884]",997.7415987884217,1013.2782120630884
9637,20202021,4.0,2020-10-03T14:00:00Z,Everton,Brighton,5.2,0.9367935154267472,"[1016.9585311751031, 1001.6570411268755]",1016.9585311751031,1001.6570411268755
19208,20202021,4.0,2020-10-03T14:00:00Z,Brighton,Everton,3.111111111111111,-0.1970067487317646,"[999.246953776048, 1019.3686185259305]",999.246953776048,1019.3686185259305
19207,20202021,4.0,2020-10-03T14:00:00Z,Arsenal,Everton,0.0,-1.8856454400316756,"[990.6021654109292, 1028.4282591352564]",990.6021654109292,1028.4282591352564
23997,20202021,4.0,2020-10-03T16:30:00Z,Man City,Leeds,3.0,-0.25731527342104715,"[999.4220806443305, 1011.359625458379]",999.4220806443305,1011.359625458379
31175,20202021,4.0,2020-10-03T16:30:00Z,Leeds,Man City,1.8888888888888888,-0.8604005203138726,"[1005.6217802559796, 1005.15992584673]",1005.6217802559796,1005.15992584673
12034,20202021,4.0,2020-10-03T19:00:00Z,Newcastle,Burnley,4.2,0.3940167932232043,"[993.8267184894338, 988.7145991127835]",993.8267184894338,988.7145991127835
35963,20202021,4.0,2020-10-03T19:00:00Z,Burnley,Newcastle,1.8181818181818181,-0.8987786723888705,"[983.2471137343775, 999.2942038678398]",983.2471137343775,999.2942038678398
55109,20202021,4.0,2020-10-04T11:00:00Z,Leicester,West Ham,1.4,-1.1257580289467157,"[1009.13126275143, 1010.0877964387992]",1009.13126275143,1010.0877964387992
45539,20202021,4.0,2020-10-04T11:00:00Z,West Brom,Southampton,1.5555555555555556,-1.0413260943817202,"[976.4546065794624, 999.1310998758277]",976.4546065794624,999.1310998758277
52717,20202021,4.0,2020-10-04T11:00:00Z,Southampton,West Brom,5.7,1.2081818765285186,"[1001.411625753367, 974.174080701923]",1001.411625753367,974.174080701923
26396,20202021,4.0,2020-10-04T11:00:00Z,West Ham,Leicester,7.090909090909091,1.9631349537752643,"[1015.9164240512171, 1003.3026351390121]",1015.9164240512171,1003.3026351390121
57507,20202021,4.0,2020-10-04T13:00:00Z,Fulham,Wolves,2.0,-0.80009199562459,"[965.7349249541151, 996.3025176661699]",965.7349249541151,996.3025176661699
43148,20202021,4.0,2020-10-04T13:00:00Z,Arsenal,Sheffield Utd,3.6,0.06835075990107857,"[988.4778816205104, 976.6042037878221]",988.4778816205104,976.6042037878221
21614,20202021,4.0,2020-10-04T13:00:00Z,Wolves,Fulham,5.818181818181818,1.272328216425301,"[998.6627797455274, 963.3746628747576]",998.6627797455274,963.3746628747576
76,20202021,4.0,2020-10-04T13:00:00Z,Sheffield Utd,Arsenal,2.3,-0.6372589789635272,"[972.349849165256, 992.7322362430765]",972.349849165256,992.7322362430765
47938,20202021,4.0,2020-10-04T15:30:00Z,Man Utd,Spurs,-0.125,-1.9534925303071184,"[993.203443810267, 1010.9021883680036]",993.203443810267,1010.9021883680036
33581,20202021,4.0,2020-10-04T15:30:00Z,Spurs,Man Utd,6.8,1.8052362709524155,"[1015.6877450735149, 988.4178871047558]",1015.6877450735149,988.4178871047558
28796,20202021,4.0,2020-10-04T18:15:00Z,Aston Villa,Liverpool,6.636363636363637,1.7164182618645634,"[1024.12075013303, 1017.8312765468212]",1024.12075013303,1017.8312765468212
2474,20202021,4.0,2020-10-04T18:15:00Z,Liverpool,Aston Villa,2.2222222222222223,-0.6794749462460249,"[1013.2702904476645, 1028.6817362321867]",1013.2702904476645,1028.6817362321867
28798,20202021,5.0,2020-10-17T11:30:00Z,Everton,Liverpool,3.2,-0.14875992898033852,"[1025.4587408516586, 1016.2398087312623]",1025.4587408516586,1016.2398087312623
19227,20202021,5.0,2020-10-17T11:30:00Z,Liverpool,Everton,2.8181818181818183,-0.3560019501853276,"[1013.0452594346048, 1028.6532901483163]",1013.0452594346048,1028.6532901483163
45551,20202021,5.0,2020-10-17T14:00:00Z,Chelsea,Southampton,3.8181818181818183,0.1867747720182152,"[1011.7308032994182, 1002.9590345170373]",1011.7308032994182,1002.9590345170373
14443,20202021,5.0,2020-10-17T14:00:00Z,Southampton,Chelsea,3.5454545454545454,0.03874475687179434,"[1001.3324331491051, 1013.3574046673504]",1001.3324331491051,1013.3574046673504
87,20202021,5.0,2020-10-17T16:30:00Z,Man City,Arsenal,5.363636363636363,1.0256115245145994,"[1006.9541550644414, 990.9380070253651]",1006.9541550644414,990.9380070253651
31195,20202021,5.0,2020-10-17T16:30:00Z,Arsenal,Man City,2.090909090909091,-0.7507486572424498,"[986.3301509953745, 1011.5620110944319]",986.3301509953745,1011.5620110944319
33591,20202021,5.0,2020-10-17T19:00:00Z,Newcastle,Man Utd,2.0,-0.80009199562459,"[993.8235909404406, 993.888500032155]",993.8235909404406,993.888500032155
35983,20202021,5.0,2020-10-17T19:00:00Z,Man Utd,Newcastle,5.181818181818182,0.9269248477503189,"[995.5945766962195, 992.117514276376]",995.5945766962195,992.117514276376
