code,link,date,season,name,dayofweek,comp,round,venue,result,team,opponent,game_started,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report,name_link,assisted_shots,crosses_into_penalty_area,pass_xa,passes_completed_long,passes_completed_medium,passes_completed_short,passes_into_final_third,passes_into_penalty_area,passes_long,passes_medium,passes_pct_long,passes_pct_medium,passes_pct_short,passes_progressive_distance,passes_short,passes_total_distance,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,crosses,passes_blocked,passes_dead,passes_free_kicks,passes_live,passes_offsides,passes_switches,through_balls,throw_ins,gca_defense,gca_fouled,gca_passes_dead,gca_passes_live,gca_shots,gca_take_ons,sca_defense,sca_fouled,sca_passes_dead,sca_passes_live,sca_shots,sca_take_ons,blocked_passes,blocked_shots,challenge_tackles,challenge_tackles_pct,challenges,challenges_lost,clearances,errors,tackles_att_3rd,tackles_def_3rd,tackles_interceptions,tackles_mid_3rd,tackles_won,carries_distance,carries_into_final_third,carries_into_penalty_area,carries_progressive_distance,dispossessed,miscontrols,passes_received,progressive_passes_received,take_ons_tackled,take_ons_tackled_pct,take_ons_won_pct,touches_att_3rd,touches_att_pen_area,touches_def_3rd,touches_def_pen_area,touches_live_ball,touches_mid_3rd,aerials_lost,aerials_won,aerials_won_pct,ball_recoveries,cards_yellow_red,fouled,fouls,offsides,own_goals,pens_conceded,pens_won,scrape_datetime
774cf58b,https://fbref.com//en/matches/d6bbf293/Bournemouth-West-Ham-United-August-12-2023-Premier-League,2023-08-12,20232024,Max Aarons,Sat,Premier League,Matchweek 1,Home,D 1–1,Bournemouth,West Ham,Y,RB,74,0,0,0,0,0,0,0,0,50,2,0,0,0.0,0.0,0.1,4,0,39,44,88.6,3,27,3,3,2,Match Report,"('Max Aarons', 'https://fbref.com//en/matches/d6bbf293/Bournemouth-West-Ham-United-August-12-2023-Premier-League')",1,0,0.1,3,14,20,1,1,4,16,75.0,87.5,100.0,158,20,618,0,0,0,0,1,2,8,1,36,0,0,1,7,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2,66.7,3,1,1,0,0,1,2,1,0,165,1,0,87,0,0,29,1,1,33.3,66.7,8,0,11,0,50,31,3,0,0.0,3,0,2,1,0,0,0,0,2023-08-25 00:55:42.669399
774cf58b,https://fbref.com//en/matches/80bebdbb/Liverpool-Bournemouth-August-19-2023-Premier-League,2023-08-19,20232024,Max Aarons,Sat,Premier League,Matchweek 2,Away,L 1–3,Bournemouth,Liverpool,Y,RB,90,0,0,0,0,1,0,0,0,59,2,0,3,0.0,0.0,0.0,1,0,33,43,76.7,4,27,0,5,0,Match Report,"('Max Aarons', 'https://fbref.com//en/matches/80bebdbb/Liverpool-Bournemouth-August-19-2023-Premier-League')",0,1,0.0,2,10,20,2,2,3,13,66.7,76.9,83.3,215,24,466,0,0,0,0,2,2,10,2,33,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,50.0,4,2,4,0,0,2,2,0,2,224,2,0,122,0,0,29,4,2,40.0,0.0,8,0,22,7,59,30,1,2,66.7,6,0,5,1,0,0,0,0,2023-08-25 00:55:42.669399
77816c91,https://fbref.com//en/matches/8fd77664/Norrkoping-Hacken-July-2-2023-Allsvenskan,2023-07-02,20232024,Bénie Adama Traore,Sun,Allsvenskan,Matchweek 13,Away,D 2–2,Häcken,Norrköping,Y,FW,77,0,0,0,0,3,2,0,0,,,1,,,,,,,,,,,,,,,Match Report,"('Bénie Adama Traore', 'https://fbref.com//en/matches/8fd77664/Norrkoping-Hacken-July-2-2023-Allsvenskan')",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,,,2023-08-25 00:55:42.669399
77816c91,https://fbref.com//en/matches/55fd92c7/Sheffield-United-Crystal-Palace-August-12-2023-Premier-League,2023-08-12,20232024,Bénie Adama Traore,Sat,Premier League,Matchweek 1,Home,L 0–1,Sheffield Utd,Crystal Palace,Y,RW,86,0,0,0,0,0,0,0,0,20,2,0,1,0.0,0.0,0.3,2,0,10,12,83.3,3,14,2,5,0,Match Report,"('Bénie Adama Traore', 'https://fbref.com//en/matches/55fd92c7/Sheffield-United-Crystal-Palace-August-12-2023-Premier-League')",2,0,0.1,1,4,5,1,2,1,5,100.0,80.0,100.0,50,5,169,0,0,0,0,0,1,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0.0,2,2,0,0,1,0,2,1,1,126,2,0,55,1,1,8,5,5,100.0,0.0,11,1,4,1,20,6,4,0,0.0,7,0,1,5,0,0,0,0,2023-08-25 00:55:42.669399
77816c91,https://fbref.com//en/matches/a0a93f71/Nottingham-Forest-Sheffield-United-August-18-2023-Premier-League,2023-08-18,20232024,Bénie Adama Traore,Fri,Premier League,Matchweek 2,Away,L 1–2,Sheffield Utd,Nott'ham Forest,Y,"AM,FW",81,0,0,0,0,1,1,0,0,24,0,0,1,0.3,0.3,0.0,0,0,13,16,81.3,3,14,2,7,2,Match Report,"('Bénie Adama Traore', 'https://fbref.com//en/matches/a0a93f71/Nottingham-Forest-Sheffield-United-August-18-2023-Premier-League')",0,0,0.0,0,7,6,0,2,0,7,,100.0,85.7,33,7,225,0,0,0,0,1,1,2,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1,1,0,0,0,0,0,0,0,72,1,1,41,1,1,15,2,5,71.4,28.6,9,2,2,0,24,14,2,0,0.0,3,0,1,1,1,0,0,0,2023-08-25 00:55:42.669399
0480ebc7,https://fbref.com//en/matches/56a137f7/Brighton-and-Hove-Albion-Luton-Town-August-12-2023-Premier-League,2023-08-12,20232024,Elijah Adebayo,Sat,Premier League,Matchweek 1,Away,L 1–4,Luton Town,Brighton,Y,FW,63,0,0,0,0,0,0,0,0,16,0,1,0,0.0,0.0,0.0,1,0,7,10,70.0,4,7,1,3,0,Match Report,"('Elijah Adebayo', 'https://fbref.com//en/matches/56a137f7/Brighton-and-Hove-Albion-Luton-Town-August-12-2023-Premier-League')",1,0,0.0,0,4,3,0,1,0,6,,66.7,75.0,41,4,113,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,1,0,0,0,1,0,0,56,2,0,27,0,0,8,3,3,100.0,0.0,5,0,2,1,16,10,1,2,66.7,0,0,0,0,0,0,0,0,2023-08-25 00:55:42.669399
4dcec659,https://fbref.com//en/matches/56a137f7/Brighton-and-Hove-Albion-Luton-Town-August-12-2023-Premier-League,2023-08-12,20232024,Simon Adingra,Sat,Premier League,Matchweek 1,Home,W 4–1,Brighton,Luton Town,N,RW,17,1,0,0,0,1,1,0,0,9,0,0,0,0.3,0.3,0.0,0,0,6,6,100.0,0,5,0,1,0,Match Report,"('Simon Adingra', 'https://fbref.com//en/matches/56a137f7/Brighton-and-Hove-Albion-Luton-Town-August-12-2023-Premier-League')",0,0,0.0,0,1,5,0,0,0,1,,100.0,100.0,10,5,65,2,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,16,0,0,3,0,1,5,2,1,100.0,0.0,8,2,0,0,9,1,0,0,,2,0,0,0,0,0,0,0,2023-08-25 00:55:42.669399
4dcec659,https://fbref.com//en/matches/d7c606ec/Wolverhampton-Wanderers-Brighton-and-Hove-Albion-August-19-2023-Premier-League,2023-08-19,20232024,Simon Adingra,Sat,Premier League,Matchweek 2,Away,W 4–1,Brighton,Wolves,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,"('Simon Adingra', 'https://fbref.com//en/matches/d7c606ec/Wolverhampton-Wanderers-Brighton-and-Hove-Albion-August-19-2023-Premier-League')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-25 00:55:42.669399
288e1e13,https://fbref.com//en/matches/d6bbf293/Bournemouth-West-Ham-United-August-12-2023-Premier-League,2023-08-12,20232024,Nayef Aguerd,Sat,Premier League,Matchweek 1,Away,D 1–1,West Ham,Bournemouth,Y,CB,90,0,0,0,0,0,0,0,0,41,2,2,0,0.0,0.0,0.0,1,0,22,29,75.9,3,12,0,0,0,Match Report,"('Nayef Aguerd', 'https://fbref.com//en/matches/d6bbf293/Bournemouth-West-Ham-United-August-12-2023-Premier-League')",0,0,0.0,6,9,7,3,0,9,12,66.7,75.0,100.0,242,7,510,0,0,0,0,0,0,8,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,100.0,2,0,7,1,0,2,4,0,0,76,0,0,26,0,1,9,0,0,,,1,0,29,12,41,11,2,5,71.4,5,0,1,1,0,0,0,0,2023-08-25 00:55:42.669399
288e1e13,https://fbref.com//en/matches/44b9a07c/West-Ham-United-Chelsea-August-20-2023-Premier-League,2023-08-20,20232024,Nayef Aguerd,Sun,Premier League,Matchweek 2,Home,W 3–1,West Ham,Chelsea,Y,CB,66,1,0,0,0,1,1,2,1,36,1,3,2,0.1,0.1,0.0,0,0,16,24,66.7,0,19,0,0,0,Match Report,"('Nayef Aguerd', 'https://fbref.com//en/matches/44b9a07c/West-Ham-United-Chelsea-August-20-2023-Premier-League')",0,0,0.0,2,8,6,0,0,8,9,25.0,88.9,85.7,125,7,316,0,0,0,0,0,0,3,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,100.0,1,0,3,0,0,0,4,1,0,62,0,0,41,1,1,14,0,0,,,1,1,22,5,36,14,0,0,,6,1,0,2,0,0,0,0,2023-08-25 00:55:42.669399
