code,now_cost,team_name
232223,45,Arsenal
58822,40,Arsenal
153256,45,Arsenal
438098,55,Arsenal
226597,50,Arsenal
219847,75,Arsenal
156074,45,Arsenal
205651,80,Arsenal
85955,55,Arsenal
440854,45,Arsenal
479683,45,Arsenal
444145,80,Arsenal
205533,55,Arsenal
184029,85,Arsenal
167199,50,Arsenal
195735,50,Arsenal
225321,50,Arsenal
115918,40,Arsenal
223340,85,Arsenal
462424,50,Arsenal
437742,50,Arsenal
209289,55,Arsenal
437626,40,Arsenal
192895,45,Arsenal
223723,45,Arsenal
116216,70,Arsenal
201410,40,Arsenal
224068,40,Arsenal
198869,55,Arsenal
84450,60,Arsenal
206325,50,Arsenal
204480,55,Arsenal
200641,50,Arsenal
445122,50,Arsenal
106468,50,Aston Villa
433979,45,Aston Villa
215711,55,Aston Villa
195546,60,Aston Villa
199796,45,Aston Villa
101184,40,Aston Villa
84583,60,Aston Villa
221239,50,Aston Villa
151589,50,Aston Villa
165659,45,Aston Villa
101188,45,Aston Villa
230046,55,Aston Villa
476344,50,Aston Villa
123354,40,Aston Villa
490094,45,Aston Villa
226944,50,Aston Villa
199798,45,Aston Villa
98980,50,Aston Villa
122806,55,Aston Villa
149484,45,Aston Villa
111782,40,Aston Villa
481624,45,Aston Villa
232653,60,Aston Villa
122775,45,Aston Villa
248164,40,Aston Villa
166989,60,Aston Villa
110504,50,Aston Villa
178301,80,Aston Villa
213345,50,Aston Villa
244954,45,Aston Villa
243557,65,Aston Villa
444180,50,Bournemouth
168991,55,Bournemouth
111317,50,Bournemouth
158499,50,Bournemouth
155408,50,Bournemouth
244085,45,Bournemouth
81012,45,Bournemouth
463981,40,Bournemouth
235530,45,Bournemouth
444183,45,Bournemouth
222683,50,Bournemouth
128309,50,Bournemouth
133845,45,Bournemouth
223911,45,Bournemouth
128340,50,Bournemouth
69752,45,Bournemouth
533463,50,Bournemouth
156687,45,Bournemouth
32259,40,Bournemouth
156685,50,Bournemouth
437730,45,Bournemouth
221466,45,Bournemouth
54469,45,Bournemouth
154566,65,Bournemouth
201658,55,Bournemouth
424044,50,Bournemouth
229600,40,Bournemouth
477580,45,Bournemouth
544877,45,Bournemouth
215531,45,Bournemouth
191866,45,Brentford
235448,40,Brentford
432160,45,Brentford
228044,40,Brentford
481405,45,Brentford
174932,50,Brentford
432830,45,Brentford
503300,40,Brentford
440089,50,Brentford
183656,50,Brentford
434662,45,Brentford
118342,45,Brentford
213687,40,Brentford
194010,45,Brentford
472713,45,Brentford
204580,55,Brentford
207283,55,Brentford
249231,50,Brentford
446008,65,Brentford
51927,50,Brentford
128295,55,Brentford
428580,50,Brentford
231065,45,Brentford
154561,50,Brentford
226956,45,Brentford
513418,55,Brentford
140200,40,Brentford
144485,80,Brentford
591357,45,Brentford
216646,60,Brentford
508395,45,Brentford
48760,45,Brentford
535818,50,Brighton
235382,45,Brighton
509416,45,Brighton
536916,50,Brighton
486672,50,Brighton
233425,45,Brighton
168090,50,Brighton
83299,50,Brighton
474120,55,Brighton
204214,50,Brighton
487117,60,Brighton
243568,50,Brighton
60307,65,Brighton
475168,55,Brighton
442229,40,Brighton
484658,45,Brighton
39155,50,Brighton
232792,40,Brighton
109345,65,Brighton
209288,40,Brighton
15157,50,Brighton
451340,65,Brighton
243505,45,Brighton
215059,45,Brighton
441192,45,Brighton
240514,40,Brighton
49262,45,Brighton
450434,55,Brighton
469142,40,Brighton
111478,45,Brighton
489639,45,Brighton
110735,45,Brighton
50175,60,Brighton
204676,45,Brighton
223434,45,Brighton
578614,45,Burnley
487968,40,Burnley
189776,50,Burnley
183751,55,Burnley
241231,40,Burnley
172782,50,Burnley
250735,45,Burnley
40145,50,Burnley
530873,45,Burnley
172567,50,Burnley
432711,40,Burnley
478969,40,Burnley
435973,50,Burnley
493347,40,Burnley
60586,50,Burnley
483391,40,Burnley
232917,45,Burnley
216616,45,Burnley
220598,50,Burnley
220037,40,Burnley
192290,45,Burnley
44683,55,Burnley
103914,40,Burnley
461102,40,Burnley
226473,50,Burnley
133085,40,Burnley
441455,45,Burnley
120202,55,Burnley
511783,50,Burnley
492831,55,Burnley
432720,45,Burnley
83283,50,Burnley
487702,50,Burnley
179458,50,Burnley
199598,40,Chelsea
532605,45,Chelsea
109745,50,Chelsea
54694,65,Chelsea
41328,45,Chelsea
118335,40,Chelsea
242880,45,Chelsea
122074,40,Chelsea
440323,50,Chelsea
180736,45,Chelsea
172850,55,Chelsea
478912,45,Chelsea
460028,45,Chelsea
179268,50,Chelsea
448047,50,Chelsea
520295,50,Chelsea
444463,45,Chelsea
232787,55,Chelsea
482609,40,Chelsea
487838,45,Chelsea
209046,50,Chelsea
225796,55,Chelsea
66749,70,Chelsea
248857,55,Chelsea
465920,65,Chelsea
517052,70,Chelsea
213198,75,Chelsea
176413,55,Chelsea
204727,45,Chelsea
471798,40,Chelsea
103955,70,Chelsea
51090,50,Chelsea
124183,55,Chelsea
518620,50,Chelsea
441302,55,Chelsea
466117,45,Crystal Palace
174874,45,Crystal Palace
80146,55,Crystal Palace
57328,45,Crystal Palace
438464,50,Crystal Palace
450535,45,Crystal Palace
199670,55,Crystal Palace
232413,65,Crystal Palace
40836,45,Crystal Palace
209036,45,Crystal Palace
108413,50,Crystal Palace
101982,45,Crystal Palace
152551,50,Crystal Palace
231747,50,Crystal Palace
169593,40,Crystal Palace
244723,45,Crystal Palace
512462,40,Crystal Palace
443661,60,Crystal Palace
450541,45,Crystal Palace
427623,40,Crystal Palace
173954,45,Crystal Palace
86417,50,Crystal Palace
49413,40,Crystal Palace
55494,45,Crystal Palace
487818,40,Crystal Palace
120250,45,Everton
480455,40,Everton
177815,60,Everton
59949,45,Everton
108823,50,Everton
121599,55,Everton
232928,50,Everton
160987,45,Everton
198826,45,Everton
172632,55,Everton
80801,50,Everton
194164,40,Everton
153133,55,Everton
106611,45,Everton
115382,50,Everton
433154,55,Everton
224967,45,Everton
449871,50,Everton
243571,45,Everton
111234,45,Everton
218997,45,Everton
17761,45,Everton
222627,40,Everton
11948,40,Everton
18892,45,Everton
220307,55,Everton
156689,55,Fulham
76357,50,Fulham
166324,50,Fulham
96994,55,Fulham
219924,45,Fulham
432931,45,Fulham
83543,45,Fulham
109434,40,Fulham
80201,45,Fulham
212314,45,Fulham
120721,40,Fulham
128389,75,Fulham
244042,45,Fulham
154296,50,Fulham
82514,45,Fulham
153366,50,Fulham
169528,45,Fulham
155529,40,Fulham
167074,45,Fulham
109646,45,Fulham
245824,50,Fulham
153682,55,Fulham
102057,55,Fulham
47431,55,Fulham
